Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
AL,Albania,2001,M,  75.439,  181.2,41.6,  74.659,  618.7,3.5,  150.098,50.3,  256.0,29.5,12.1,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: April
AL,Albania,2007 b,M,,,22.8,,,1.8,,,,,12.6,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
AL,Albania,2008,M,,,27.1,,,2.6,,,,,10.3,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
AL,Albania,2009,M,,,26.2,,,2.7,,,,,9.6,NSO,LFS,T,Youth: 15-24; Adult: 25-64,
DZ,Algeria,2001,M,  883.9,,, 1 050.1,,, 1 934.0,45.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2003,M,  852.7,,,  907.2,,, 1 759.9,48.5,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
DZ,Algeria,2004,M,  634.3, 1 480.3,42.8,  735.4, 5 426.8,3.2, 1 369.7,46.3,,,13.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: September
AS,American Samoa,1990,M,  0.168,  1.4,12.0,  0.278,  7.0,3.0,  0.446,37.7,  4.2,4.0,4.0,LABORSTA,PC,T,Youth: 16-24; Adult: 25+,Reference period: April
AI,Anguilla,1992,M,  0.09,  0.6,15.0,  0.08,  1.95,3.7,  0.17,52.9,,,4.1,CARIBBEAN,PC,T,Youth: 15-24; Adult: 25+,
AI,Anguilla,2001 b,M,  0.06,  0.581,10.3,  0.148,  2.64,1.8,  0.208,28.8,  0.852,7.0,5.6,LABORSTA,PC,C,Youth: 15-24; Adult: 25+,Reference period: May
AG,Antigua and Barbuda,1991,M,  0.46,,,  0.55,,,  1.01,45.5,,,,CARIBBEAN,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
AG,Antigua and Barbuda,2001 b,M,  0.606,  3.3,18.4,  0.983,  16.5,3.1,  1.589,38.1,  5.9,10.3,6.0,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: May
AR,Argentina,1980,M,  22.1,,,  23.7,,,  45.8,48.3,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1981,M,  41.8,,,  66.1,,,  107.9,38.7,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1982,M,  43.1,,,  69.1,,,  112.2,38.4,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1983,M,  48.1,,,  50.8,,,  98.9,48.6,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1984,M,  35.0,,,  57.8,,,  92.8,37.7,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1985,M,  60.3,,,  82.7,,,  143.0,42.2,,,,LABORSTA,HS,T,Youth: 10-24; Adult: 25+,"Reference period: Average of May and October
Geographic limitation: Greater Buenos Aires"
AR,Argentina,1990 b,M,  61.42,  535.46,11.5,  101.26, 2 332.39,2.6,  162.69,37.8,  867.81,7.1,4.3,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1991,M,  56.68,  536.28,10.6,  80.66, 2 281.64,3.0,  137.34,41.3,  874.41,6.5,3.5,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1992,M,  78.91,  606.26,13.0,  117.42, 2 290.71,2.5,  196.33,40.2,  941.26,8.4,5.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1993,M,  99.22,  615.66,16.1,  131.91, 2 341.47,2.9,  231.13,42.9,  968.06,10.2,5.6,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1994,M,  132.61,  653.77,20.3,  217.18, 2 397.1,2.2,  349.79,37.9, 1 013.05,13.1,9.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1996,M,  199.74,  667.7,29.9,  322.39, 2 455.55,2.3,  522.13,38.3, 1 036.45,19.3,13.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1997,M,  137.5,  650.85,21.1,  257.41, 2 537.95,2.1,  394.92,34.8, 1 061.87,12.9,10.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1998,M,  134.08,  630.35,21.3,  239.81, 2 539.54,2.3,  373.9,35.9, 1 068.79,12.5,9.4,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,1999,M,  144.26,  625.87,23.0,  282.23, 2 564.98,2.1,  426.49,33.8, 1 083.88,13.3,11.0,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2000,M,  128.18,  584.89,21.9,  293.99, 2 596.05,1.9,  422.18,30.4, 1 026.09,12.5,11.3,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2001,M,  182.93,  586.74,31.2,  444.51, 2 602.18,1.8,  627.44,29.2, 1 084.38,16.9,17.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: October
Geographic limitation: Greater Buenos Aires
Survey limitation: Data are derived from micro-sources."
AR,Argentina,2002 b,M,  359.3,,,  813.4,,, 1 172.7,30.6,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: Second semester
Geographic limitation: 28 urban agglomerations"
