Time,Time Code,Country Name,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),Poverty headcount ratio at national poverty lines (% of population),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)",Income share held by lowest 20%,"Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Contraceptive prevalence, any methods (% of women ages 15-49)",Births attended by skilled health staff (% of total),"Mortality rate, under-5 (per 1,000 live births)","Prevalence of underweight, weight for age (% of children under 5)","Immunization, measles (% of children ages 12-23 months)","Primary completion rate, total (% of relevant age group)","School enrollment, secondary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Prevalence of HIV, total (% of population ages 15-49)",Forest area (sq. km),"Water productivity, total (constant 2010 US$ GDP per cubic meter of total freshwater withdrawal)",Energy use (kg of oil equivalent per capita),CO2 emissions (metric tons per capita),Electric power consumption (kWh per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),"Revenue, excluding grants (% of GDP)",Start-up procedures to register a business (number),Market capitalization of listed domestic companies (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),High-technology exports (% of manufactured exports),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"External debt stocks, total (DOD, current US$)",Total debt service (% of GNI),Net migration,"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",Net ODA received per capita (current US$),GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)",Antiretroviral therapy coverage (% of people living with HIV),"Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,"Patent applications, nonresidents","Patent applications, residents",People practicing open defecation (% of population)
2000,YR2000,Afghanistan,AFG,20779953,2.975052846,652860,,,,,,,55.841,7.485,153.951,5.3,12.4,129.4,,27,,,,0.1,13500,,,0.03723478104,,,,,,,,,,,,,,0,,,100,214716148.7,,,,170000,6.545250608,,,,0,32.47869472,333.875,287.786,90127,15000,62440,,,26.01965826
2000,YR2000,Albania,ALB,3089027,-0.6373568339,28750,,3409087343,1100,12293711152,3980,,73.955,2.157,19.0372,57.5,99.1,25.9,17,95,96.58269,71.07808,0.97621,,7692.999878,3.772429872,580.4947642,0.9781746809,1449.647413,3480355189,6.950036134,5.643782073,24.51536066,19.39564563,20.11528595,43.33878845,30.79625919,,,,1.246360242,0.952019386,,38.84660981,100,1122377829,0.8369196383,,,143000000,102.8964784,1126.683318,-143000000,0.05001813635,,41.13233369,124.34,65.051,1205,12,590,,,0.8646791325
2000,YR2000,Algeria,DZA,31042235,1.358407806,2381740,,49493095503,1590,240847042804,7760,,70.64,2.514,11.7556,64,92,39.7,5.4,80,80.16639,65.11698,0.96421,0.1,15790,,869.6098396,2.830379965,683.2948723,54790245601,3.819678496,22.65476747,8.395752015,54.36625323,42.06971832,20.78862576,23.56391053,,,0.5207058372,3.433385635,0.277041908,,56.94809296,100,25467370754,8.591159933,,,280100000,6.441546493,1765.022577,,0.3391631891,8,13.51781531,158.714,122.258,20630,980,12949,127,32,6.382788159
2000,YR2000,American Samoa,ASM,57821,1.337137112,200,,,,,,,,,,,,,,,,,,,180.4999924,,,,,,,,,,,,,,,,,3.445115097,,,100,,,,,,,,,,,,,,,,,,,
2000,YR2000,Andorra,AND,65390,1.572165551,470,,,,,,,,,,,,6.4,,97,,,,,160,,,8.019284294,,1434429703,3.528361297,29.2262783,0.4874978323,14.09311915,,,,,,,,36.00397614,,,100,,,,,,,21936.5301,,,,,,,4,,2,,,0
2000,YR2000,Angola,AGO,16395473,3.277203555,1246700,,5902876836,360,41432320257,2530,3.2,46.522,6.639,196.6992,,,205.7,,32,,12.26628,,1,597280,56.21237028,438.5500193,0.5819614963,75.26467824,9129594819,3.054624234,418.0189915,5.664689564,72.12295494,89.68583119,62.86127827,30.49321898,52.78838514,,,6.392603154,0.157397106,,120.0600927,100,9763465564,23.10316788,,266290000,878620000,18.43252708,556.8363181,-878620000,324.9968716,0,48.46704458,408.217,334.646,93459,6600,39968,,,42.86651431
2000,YR2000,Antigua and Barbuda,ATG,76016,1.781187179,440,,771086072.2,10140,1190196203,15660,,73.94,2.2,61.9748,,99.9,15.8,,95,,79.66178,,,100,,,4.534545359,,830158777.8,6.691742382,1.55207877,1.589539743,13.82711393,56.23766663,60.04412275,,,,,,28.94127552,,55.2906278,100,,,,1558148.148,43115925.93,129.9726373,10920.84269,-43115925.93,0.7717797969,,,180.197,132.267,20,1,14,,,1.345445497
2000,YR2000,Argentina,ARG,36870787,1.100583725,2780400,,275544288843,7470,427705048151,11600,3.2,73.576,2.542,66.3552,,99.1,19.6,,91,97.34647,95.93661,1.01587,0.3,318600,,1669.526745,3.854991948,2088.80814,284203750000,-0.7889989391,1.037287101,4.679910944,25.99083601,10.98637523,11.63606955,17.53348744,14.17761025,,16.12904122,1.148822677,17.59645109,,18.11904312,100,150062928187,8.982162146,,267700000,10418314339,1.63733961,7708.100996,-9517286140,,19,42.28973538,181.355,97.296,12561,480,7894,5574,1062,
2000,YR2000,Armenia,ARM,3069591,-0.6310207989,29740,,2025189581,660,7341753228,2390,,71.409,1.648,39.3926,60.5,96.8,30.8,2.6,92,,92.15199,1.07114,0.1,3330,,656.308935,1.128917501,1297.567005,1911563665,5.900000001,-1.373675996,,,23.37525912,50.54326015,18.23232978,,,,3.560024873,0.569652439,,61.52031561,100,1018418174,2.46187856,,3520000,104188500,70.33184551,622.7421391,-104188500,-0.7908837689,0,46.56126168,200.185,97.943,1079,17,636,8,119,0.06250573021
2000,YR2000,Aruba,ABW,90853,2.055026783,180,,1817009854,20000,2970472656,32700,,73.787,1.872,43.593,,,,,,97.14286,96.51617,0.99266,,4.199999869,,,26.19487524,,1873452514,7.616589704,1.048270038,0.4100218281,15.82535158,74.40032444,70.67285327,25.49590276,,,,,16.51018679,,272.496034,100,,,,43743016.76,-127932960.9,,20620.70063,130558659.2,4.044021312,,,138.363,86.589,,,,,,1.049868766
